shop_id,shop_url,shop_name,approval_status,first_seen_at,last_seen_at,raw_json,note
1104908107,https://www.aliexpress.com/store/1104908107,Tina's Jewelry Store,PENDING,2025-08-18 11:51:50.670193,2025-08-18 11:51:50.670193,"{""shop_id"": ""1104908107"", ""shop_url"": ""https://www.aliexpress.com/store/1104908107"", ""shop_name"": ""Tina's Jewelry Store""}",
912029256,https://www.aliexpress.com/store/912029256,July Accessory Store,PENDING,2025-08-18 11:51:50.677460,2025-08-18 11:51:50.677460,"{""shop_id"": ""912029256"", ""shop_url"": ""https://www.aliexpress.com/store/912029256"", ""shop_name"": ""July Accessory Store""}",
1103483437,https://www.aliexpress.com/store/1103483437,SobreJoyas Findings Official Store,PENDING,2025-08-18 11:51:50.679731,2025-08-18 11:51:50.679731,"{""shop_id"": ""1103483437"", ""shop_url"": ""https://www.aliexpress.com/store/1103483437"", ""shop_name"": ""SobreJoyas Findings Official Store""}",
1104634593,https://www.aliexpress.com/store/1104634593,Donarsei Do Yourself Store,PENDING,2025-08-18 11:51:50.685810,2025-08-18 11:51:50.685810,"{""shop_id"": ""1104634593"", ""shop_url"": ""https://www.aliexpress.com/store/1104634593"", ""shop_name"": ""Donarsei Do Yourself Store""}",
1103937240,https://www.aliexpress.com/store/1103937240,Shop1103937240 Store,PENDING,2025-08-18 11:51:50.687939,2025-08-18 11:51:50.687939,"{""shop_id"": ""1103937240"", ""shop_url"": ""https://www.aliexpress.com/store/1103937240"", ""shop_name"": ""Shop1103937240 Store""}",
911931396,https://www.aliexpress.com/store/911931396,MEINVKAIDEDIAN Store,PENDING,2025-08-18 11:51:50.689943,2025-08-18 11:51:50.689943,"{""shop_id"": ""911931396"", ""shop_url"": ""https://www.aliexpress.com/store/911931396"", ""shop_name"": ""MEINVKAIDEDIAN Store""}",
5281019,https://www.aliexpress.com/store/5281019,Funnydiy Store,PENDING,2025-08-18 11:51:50.698420,2025-08-18 11:51:50.698420,"{""shop_id"": ""5281019"", ""shop_url"": ""https://www.aliexpress.com/store/5281019"", ""shop_name"": ""Funnydiy Store""}",
1103836652,https://www.aliexpress.com/store/1103836652,Shop1103836652 Store,PENDING,2025-08-18 11:51:50.700722,2025-08-18 11:51:50.700722,"{""shop_id"": ""1103836652"", ""shop_url"": ""https://www.aliexpress.com/store/1103836652"", ""shop_name"": ""Shop1103836652 Store""}",
1102937663,https://www.aliexpress.com/store/1102937663,Fantastic Beads Studio Store,PENDING,2025-08-18 11:51:50.705304,2025-08-18 11:51:50.705304,"{""shop_id"": ""1102937663"", ""shop_url"": ""https://www.aliexpress.com/store/1102937663"", ""shop_name"": ""Fantastic Beads Studio Store""}",
3123007,https://www.aliexpress.com/store/3123007,JD Stone Beads Store,PENDING,2025-08-18 11:51:50.707570,2025-08-18 11:51:50.707570,"{""shop_id"": ""3123007"", ""shop_url"": ""https://www.aliexpress.com/store/3123007"", ""shop_name"": ""JD Stone Beads Store""}",
1104273818,https://www.aliexpress.com/store/1104273818,Mia Syan Store,PENDING,2025-08-18 11:51:50.709673,2025-08-18 11:51:50.709673,"{""shop_id"": ""1104273818"", ""shop_url"": ""https://www.aliexpress.com/store/1104273818"", ""shop_name"": ""Mia Syan Store""}",
1102128176,https://www.aliexpress.com/store/1102128176,Shop1102128176 Store,PENDING,2025-08-18 11:51:50.711781,2025-08-18 11:51:50.711781,"{""shop_id"": ""1102128176"", ""shop_url"": ""https://www.aliexpress.com/store/1102128176"", ""shop_name"": ""Shop1102128176 Store""}",
911806342,https://www.aliexpress.com/store/911806342,Lunar Store,PENDING,2025-08-18 11:51:50.717155,2025-08-18 11:51:50.717155,"{""shop_id"": ""911806342"", ""shop_url"": ""https://www.aliexpress.com/store/911806342"", ""shop_name"": ""Lunar Store""}",
425826,https://www.aliexpress.com/store/425826,Cabochon Store,PENDING,2025-08-18 11:51:52.282329,2025-08-18 11:51:52.282329,"{""shop_id"": ""425826"", ""shop_url"": ""https://www.aliexpress.com/store/425826"", ""shop_name"": ""Cabochon Store""}",
