id,job_type,start_time,end_time,duration_seconds,found_count,new_count,skipped_count,error_count,keywords,categories,details
1,HARVEST_INIT,2025-08-19 12:21:17.611523,2025-08-19 12:21:20.859216,3,15,15,0,0,,"200001680,1509,201239108,200370154","{""total_products_processed"": 50, ""blacklisted"": 2, ""unique_sellers_found"": 15, ""new_sellers_added"": 15, ""sellers_updated"": 2, ""errors"": 0, ""start_time"": ""2025-08-19T12:21:17.618724"", ""products_added"": 50}"
2,HARVEST_DELTA,2025-08-19 12:22:30.822047,2025-08-19 12:22:35.830477,5,15,0,15,0,,"200001680,1509,201239108,200370154","{""total_products_processed"": 81, ""blacklisted"": 2, ""unique_sellers_found"": 15, ""new_sellers_added"": 0, ""sellers_updated"": 17, ""errors"": 0, ""start_time"": ""2025-08-19T12:22:30.829490"", ""products_added"": 81, ""exception"": ""KeyboardInterrupt""}"
3,HARVEST_DELTA,2025-08-19 12:23:20.704167,2025-08-19 12:23:30.484282,9,20,6,14,0,,"200001680,1509,201239108,200370154","{""total_products_processed"": 200, ""blacklisted"": 14, ""unique_sellers_found"": 20, ""new_sellers_added"": 6, ""sellers_updated"": 28, ""errors"": 0, ""start_time"": ""2025-08-19T12:23:20.711752"", ""products_added"": 200}"
