category_id,category_name,parent_category_id,parent_category_name
36,Jewelry & Accessories,0,Root
200001680,Fine Jewelry,36,Jewelry
1509,Fashion Jewelry,36,Jewelry
200001479,Jewelry Packaging & Display,36,Jewelry
200001478,Jewelry Tools & Equipments,36,Jewelry
201239108,Customized Jewelry,36,Jewelry
200370154,Smart Jewelry,36,Jewelry
201238105,Jewelry Making,36,Jewelry
